systime,devtime,packno,status,controltype,error,limb,mechanism,angle,hocdisp,button,trialno,assessmentstate
2026-06-01 10:16:25.023724,2863.157,15926,1,0,4,,3,-10.884376525878906,1.1398092444202121,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.024724,2863.1620000000003,15927,1,0,4,,3,-10.884376525878906,1.1398092444202121,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.024724,2863.167,15928,1,0,4,,3,-10.884376525878906,1.1398092444202121,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.025776,2863.1730000000002,15929,1,0,4,,3,-10.884376525878906,1.1398092444202121,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.025776,2863.178,15930,1,0,4,,3,-10.884376525878906,1.1398092444202121,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.026723,2863.183,15931,1,0,4,,3,-10.87031364440918,1.1383365829164256,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.026723,2863.189,15932,1,0,4,,3,-10.842188835144043,1.1353913597773932,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.026723,2863.194,15933,1,0,4,,3,-10.828126907348633,1.1339187981421477,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.027723,2863.199,15934,1,0,4,,3,-10.80000114440918,1.1309734751345746,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.085387,2863.205,15935,1,0,4,,3,-10.80000114440918,1.1309734751345746,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.086428,2863.21,15936,1,0,4,,3,-10.80000114440918,1.1309734751345746,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.086428,2863.215,15937,1,0,4,,3,-10.80000114440918,1.1309734751345746,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.087390,2863.221,15938,1,0,4,,3,-10.814064025878906,1.1324461366383611,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.088577,2863.226,15939,1,0,4,,3,-10.828126907348633,1.1339187981421477,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.088577,2863.231,15940,1,0,4,,3,-10.85625171661377,1.1368640212811798,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.088577,2863.236,15941,1,0,4,,3,-10.884376525878906,1.1398092444202121,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.088577,2863.242,15942,1,0,4,,3,-10.912501335144043,1.1427544675592445,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.089387,2863.247,15943,1,0,4,,3,-10.94062614440918,1.1456996906982766,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.089387,2863.252,15944,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.090438,2863.2580000000003,15945,1,0,4,,3,-10.982813835144043,1.1501175753410955,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.090438,2863.263,15946,1,0,4,,3,-10.982813835144043,1.1501175753410955,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.090438,2863.268,15947,1,0,4,,3,-10.982813835144043,1.1501175753410955,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.161721,2863.273,15948,1,0,4,,3,-10.982813835144043,1.1501175753410955,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.162580,2863.279,15949,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.163579,2863.284,15950,1,0,4,,3,-10.954689025878906,1.1471723522020632,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.163579,2863.289,15951,1,0,4,,3,-10.954689025878906,1.1471723522020632,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.164595,2863.295,15952,1,0,4,,3,-10.954689025878906,1.1471723522020632,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.164595,2863.3,15953,1,0,4,,3,-10.954689025878906,1.1471723522020632,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.164595,2863.305,15954,1,0,4,,3,-10.954689025878906,1.1471723522020632,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.165580,2863.311,15955,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.165580,2863.3160000000003,15956,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.166580,2863.321,15957,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.166580,2863.327,15958,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.167579,2863.332,15959,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.167579,2863.337,15960,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.167579,2863.342,15961,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.225996,2863.348,15962,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.225996,2863.353,15963,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.225996,2863.358,15964,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.227009,2863.364,15965,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
